symbol,name,exchange,index,isin
4316.KL,SIN HENG CHAN (MALAYA) BERHAD,XKLS,,
4324.KL,HENGYUAN REFINING COMPANY BERHAD,XKLS,,
4359.KL,TURIYA BERHAD,XKLS,,
4375.KL,SOUTH MALAYSIA INDUSTRIES BERHAD,XKLS,,
4383.KL,JAYA TIASA HOLDINGS BHD,XKLS,,
4405.KL,TAN CHONG MOTOR HOLDINGS BERHAD,XKLS,,
4456.KL,DAGANG NEXCHANGE BERHAD,XKLS,,
4464.KL,PEGASUS HEIGHTS BERHAD,XKLS,,
4502.KL,MEDIA PRIMA BERHAD,XKLS,,
4596.KL,SAPURA RESOURCES BERHAD,XKLS,,
4634.KL,POS MALAYSIA BERHAD,XKLS,,
4677.KL,YTL CORPORATION BERHAD,XKLS,,MYL4677OO005
4707.KL,NESTLE (MALAYSIA) BERHAD,XKLS,,MYL4707OO009
4715.KL,GENTING MALAYSIA BERHAD,XKLS,,MYL4715OO000
4723.KL,JAKS RESOURCES BERHAD,XKLS,,
4731.KL,SCIENTEX BERHAD,XKLS,,
4758.KL,ANCOM NYLEX BERHAD,XKLS,,
4847.KL,EPICON BERHAD,XKLS,,
4863.KL,TELEKOM MALAYSIA BERHAD,XKLS,,MYL4863OO009
4995.KL,VERSATILE CREATIVE BERHAD,XKLS,,
5000.KL,HUME CEMENT INDUSTRIES BERHAD,XKLS,,
5001.KL,MIECO CHIPBOARD BERHAD,XKLS,,
5005.KL,UNISEM (M) BERHAD,XKLS,,
5006.KL,VARIA BERHAD,XKLS,,
5007.KL,CHIN WELL HOLDINGS BERHAD,XKLS,,
5008.KL,HARRISONS HOLDINGS (MALAYSIA) BERHAD,XKLS,,
5009.KL,WHITE HORSE BERHAD,XKLS,,
5010.KL,TONG HERR RESOURCES BERHAD,XKLS,,
5011.KL,MESINIAGA BERHAD,XKLS,,
5012.KL,TA ANN HOLDINGS BERHAD,XKLS,,
5015.KL,APM AUTOMOTIVE HOLDINGS BERHAD,XKLS,,
5016.KL,WARISAN TC HOLDINGS BERHAD,XKLS,,
5020.KL,GLOMAC BERHAD,XKLS,,
5021.KL,AYS VENTURES BERHAD,XKLS,,
5022.KL,PAOS HOLDINGS BERHAD,XKLS,,
5024.KL,HUP SENG INDUSTRIES BERHAD,XKLS,,
5025.KL,AURO HOLDINGS BERHAD,XKLS,,
5026.KL,MHC PLANTATIONS BHD,XKLS,,
5027.KL,KIM LOONG RESOURCES BERHAD,XKLS,,
5028.KL,HEITECH PADU BERHAD,XKLS,,
5029.KL,FAR EAST HOLDINGS BERHAD,XKLS,,
5031.KL,TIME DOTCOM BERHAD,XKLS,,
5032.KL,BINTULU PORT HOLDINGS BERHAD,XKLS,,
5035.KL,KNUSFORD BERHAD,XKLS,,
5036.KL,EDARAN BERHAD,XKLS,,
5037.KL,COMPUGATES HOLDINGS BERHAD,XKLS,,
5038.KL,KSL HOLDINGS BERHAD,XKLS,,
5040.KL,MERIDIAN BERHAD,XKLS,,
5041.KL,PBA HOLDINGS BHD,XKLS,,
5042.KL,TSR CAPITAL BERHAD,XKLS,,
5048.KL,YB VENTURES BERHAD,XKLS,,
5049.KL,COUNTRY VIEW BERHAD,XKLS,,
5053.KL,OSK HOLDINGS BERHAD,XKLS,,
5054.KL,TRC SYNERGY BERHAD,XKLS,,
5056.KL,ENGTEX GROUP BERHAD,XKLS,,
5062.KL,HUA YANG BERHAD,XKLS,,
5065.KL,ORNAPAPER BERHAD,XKLS,,
5066.KL,NTPM HOLDINGS BERHAD,XKLS,,
5068.KL,LUSTER INDUSTRIES BHD.,XKLS,,
5069.KL,BLD PLANTATION BHD.,XKLS,,
5070.KL,PROTASCO BERHAD,XKLS,,
5071.KL,COASTAL CONTRACTS BHD,XKLS,,
5072.KL,HIAP TECK VENTURE BERHAD,XKLS,,
5073.KL,NAIM HOLDINGS BERHAD,XKLS,,
5075.KL,PLENITUDE BERHAD,XKLS,,
5077.KL,MAYBULK BERHAD,XKLS,,
5078.KL,MARINE & GENERAL BERHAD,XKLS,,
5079.KL,ONE GLOVE GROUP BERHAD,XKLS,,
5080.KL,POH KONG HOLDINGS BERHAD,XKLS,,
5081.KL,ESTHETICS INTERNATIONAL GROUP BERHAD,XKLS,,
5084.KL,IBRACO BERHAD,XKLS,,
5085.KL,MUDAJAYA GROUP BERHAD,XKLS,,
5087.KL,MYCRON STEEL BERHAD,XKLS,,
5088.KL,APEX EQUITY HOLDINGS BERHAD,XKLS,,
5090.KL,MEDIA CHINESE INTERNATIONAL LIMITED,XKLS,,
5094.KL,CSC STEEL HOLDINGS BERHAD,XKLS,,
5095.KL,HEVEABOARD BERHAD,XKLS,,
5098.KL,MALAYSIA STEEL WORKS (KL) BHD,XKLS,,
5099.KL,CAPITAL A BERHAD,XKLS,,MYL5099OO005
5100.KL,BP PLASTICS HOLDING BHD,XKLS,,
5101.KL,EVERGREEN FIBREBOARD BERHAD,XKLS,,
5102.KL,GUAN CHONG BERHAD,XKLS,,
5104.KL,CITRA NUSA HOLDINGS BERHAD,XKLS,,
5105.KL,CAN-ONE BERHAD,XKLS,,
5106.KL,AXIS REAL ESTATE INVESTMENT TRUST,XKLS,,MYL5106OO005
5107.KL,IQ GROUP HOLDINGS BERHAD,XKLS,,
5108.KL,ICAPITAL.BIZ BERHAD,XKLS,,
5109.KL,YTL HOSPITALITY REIT,XKLS,,
5110.KL,UOA REAL ESTATE INVESTMENT TRUST,XKLS,,
5111.KL,TOWER REAL ESTATE INVESTMENT TRUST,XKLS,,
5112.KL,TH PLANTATIONS BERHAD,XKLS,,
5113.KL,RIMBUNAN SAWIT BERHAD,XKLS,,
5115.KL,ALAM MARITIM RESOURCES BERHAD,XKLS,,
5116.KL,AL-'AQAR HEALTHCARE REIT,XKLS,,
5120.KL,AMFIRST REAL ESTATE INVESTMENT TRUST,XKLS,,
5121.KL,HEKTAR REAL ESTATE INVESTMENT TRUST,XKLS,,
5123.KL,SENTRAL REIT,XKLS,,
5125.KL,PANTECH GROUP HOLDINGS BERHAD,XKLS,,
5126.KL,SARAWAK OIL PALMS BERHAD,XKLS,,
5127.KL,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,XKLS,,
5129.KL,MELATI EHSAN HOLDINGS BERHAD,XKLS,,
5130.KL,ATRIUM REAL ESTATE INVESTMENT TRUST,XKLS,,
5131.KL,ZHULIAN CORPORATION BERHAD,XKLS,,
5132.KL,DELEUM BERHAD,XKLS,,
5133.KL,PETRA ENERGY BERHAD,XKLS,,
5134.KL,SOUTHERN ACIDS (M) BERHAD,XKLS,,
5135.KL,SARAWAK PLANTATION BERHAD,XKLS,,
5136.KL,HEXTAR TECHNOLOGIES SOLUTIONS BERHAD,XKLS,,
5138.KL,HAP SENG PLANTATIONS HOLDINGS BERHAD,XKLS,,
5139.KL,AEON CREDIT SERVICE (M) BERHAD,XKLS,,
5140.KL,TASCO BERHAD,XKLS,,
5141.KL,DAYANG ENTERPRISE HOLDINGS BERHAD,XKLS,,
5142.KL,WASCO BERHAD,XKLS,,
5143.KL,LUXCHEM CORPORATION BERHAD,XKLS,,
5145.KL,SEALINK INTERNATIONAL BERHAD,XKLS,,
5147.KL,SAMCHEM HOLDINGS BERHAD,XKLS,,
5148.KL,UEM SUNRISE BERHAD,XKLS,,
5149.KL,TAS OFFSHORE BERHAD,XKLS,,
5151.KL,HEXTAR GLOBAL BERHAD,XKLS,,
5152.KL,MUAR BAN LEE GROUP BERHAD,XKLS,,
5156.KL,XIDELANG HOLDINGS LTD,XKLS,,
5157.KL,SAUDIGOLD GROUP BERHAD,XKLS,,
5159.KL,YOONG ONN CORPORATION BERHAD,XKLS,,
5160.KL,HOMERITZ CORPORATION BERHAD,XKLS,,
5161.KL,JCY INTERNATIONAL BERHAD,XKLS,,
5162.KL,VSTECS BERHAD,XKLS,,
5163.KL,SEREMBAN ENGINEERING BERHAD,XKLS,,
5165.KL,DFCITY GROUP BERHAD,XKLS,,
5166.KL,CYBERJAYA EDUCATION GROUP BERHAD,XKLS,,
5167.KL,TURBO-MECH BERHAD,XKLS,,
5168.KL,HARTALEGA HOLDINGS BERHAD,XKLS,,MYL5168OO009
5169.KL,HO HUP CONSTRUCTION COMPANY BHD,XKLS,,
5171.KL,KIMLUN CORPORATION BERHAD,XKLS,,
5172.KL,SINARAN ADVANCE GROUP BERHAD,XKLS,,
5173.KL,SHIN YANG GROUP BERHAD,XKLS,,
5176.KL,SUNWAY REAL ESTATE INVESTMENT TRUST,XKLS,,MYL5176OO000
5178.KL,INGENIEUR GUDANG BERHAD,XKLS,,
5180.KL,CAPITALAND MALAYSIA TRUST,XKLS,,MYL5180OO002
5182.KL,AVALAND BERHAD,XKLS,,
5183.KL,PETRONAS CHEMICALS GROUP BERHAD,XKLS,,MYL5183OO009
5184.KL,CYPARK RESOURCES BERHAD,XKLS,,
5185.KL,AFFIN BANK BERHAD,XKLS,,
5186.KL,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD,XKLS,,
5187.KL,HB GLOBAL LIMITED,XKLS,,
5188.KL,CHINA OUHUA WINERY HOLDINGS LIMITED,XKLS,,
5190.KL,BENALEC HOLDINGS BERHAD,XKLS,,
5191.KL,TAMBUN INDAH LAND BERHAD,XKLS,,
5192.KL,K. SENG SENG CORPORATION BERHAD,XKLS,,
5195.KL,CENSOF HOLDINGS BERHAD,XKLS,,
5196.KL,BERJAYA FOOD BERHAD,XKLS,,
5197.KL,FOCUS LUMBER BERHAD,XKLS,,
5198.KL,ABM FUJIYA BERHAD,XKLS,,
5199.KL,HIBISCUS PETROLEUM BERHAD,XKLS,,
5200.KL,UOA DEVELOPMENT BHD,XKLS,,
5202.KL,MSM MALAYSIA HOLDINGS BERHAD,XKLS,,
5204.KL,AWANBIRU TECHNOLOGY BERHAD,XKLS,,
5205.KL,EVERSENDAI CORPORATION BERHAD,XKLS,,
5207.KL,SBC CORPORATION BERHAD,XKLS,,
5208.KL,EITA RESOURCES BERHAD,XKLS,,
5209.KL,GAS MALAYSIA BERHAD,XKLS,,
5210.KL,BUMI ARMADA BERHAD,XKLS,,
5211.KL,SUNWAY BERHAD,XKLS,,
5212.KL,PAVILION REAL ESTATE INVESTMENT TRUST,XKLS,,MYL5212OO002
5213.KL,SENTORIA GROUP BERHAD,XKLS,,
5216.KL,NEXG BERHAD,XKLS,,
5218.KL,VANTRIS ENERGY BERHAD,XKLS,,
5219.KL,PESTEC INTERNATIONAL BERHAD,XKLS,,
5220.KL,GLOBALTEC FORMATION BERHAD,XKLS,,
5223.KL,MENTIGA CORPORATION BERHAD,XKLS,,
5225.KL,IHH HEALTHCARE BERHAD,XKLS,,MYL5225OO007
5226.KL,GABUNGAN AQRS BERHAD,XKLS,,
5227.KL,IGB REAL ESTATE INVESTMENT TRUST,XKLS,,MYL5227OO000
5228.KL,ELK-DESA RESOURCES BERHAD,XKLS,,
5230.KL,TUNE PROTECT GROUP BERHAD,XKLS,,
5231.KL,PBS BERHAD,XKLS,,
5232.KL,LEON FUAT BERHAD,XKLS,,
5236.KL,MATRIX CONCEPTS HOLDINGS BERHAD,XKLS,,
5238.KL,AIRASIA X BERHAD,XKLS,,
5239.KL,TITIJAYA LAND BERHAD,XKLS,,
5242.KL,SOLID AUTOMOTIVE BERHAD,XKLS,,
5243.KL,VELESTO ENERGY BERHAD,XKLS,,
5246.KL,WESTPORTS HOLDINGS BERHAD,XKLS,,
5247.KL,KAREX BERHAD,XKLS,,
5248.KL,BERMAZ AUTO BERHAD,XKLS,,
5249.KL,IOI PROPERTIES GROUP BERHAD,XKLS,,
5250.KL,7-ELEVEN MALAYSIA HOLDINGS BERHAD,XKLS,,
5252.KL,SASBADI HOLDINGS BERHAD,XKLS,,
5253.KL,ECONPILE HOLDINGS BERHAD,XKLS,,
5255.KL,LIANSON FLEET GROUP BERHAD,XKLS,,
5257.KL,CARIMIN PETROLEUM BERHAD,XKLS,,
5258.KL,BANK ISLAM MALAYSIA BERHAD,XKLS,,
5259.KL,AVANGAAD BERHAD,XKLS,,
5260.KL,ONLY WORLD GROUP HOLDINGS BERHAD,XKLS,,
5263.KL,SUNWAY CONSTRUCTION GROUP BERHAD,XKLS,,
5264.KL,MALAKOFF CORPORATION BERHAD,XKLS,,
5265.KL,OASIS HARVEST CORPORATION BERHAD,XKLS,,
5267.KL,XIN HWA HOLDINGS BERHAD,XKLS,,
5269.KL,AL-SALAM REAL ESTATE INVESTMENT TRUST,XKLS,,
5271.KL,PECCA GROUP BERHAD,XKLS,,
5272.KL,RANHILL UTILITIES BERHAD,XKLS,,
5273.KL,CHIN HIN GROUP BERHAD,XKLS,,
5274.KL,HONG LEONG CAPITAL BERHAD,XKLS,,
5275.KL,MYNEWS HOLDINGS BERHAD,XKLS,,
5276.KL,DANCOMECH HOLDINGS BERHAD,XKLS,,
5277.KL,FOUNDPAC GROUP BERHAD,XKLS,,
5278.KL,RHONE MA HOLDINGS BERHAD,XKLS,,
5280.KL,KIP REAL ESTATE INVESTMENT TRUST,XKLS,,
5281.KL,ADVANCECON HOLDINGS BERHAD,XKLS,,
5283.KL,EWI CAPITAL BERHAD,XKLS,,
5284.KL,LOTTE CHEMICAL TITAN HOLDING BERHAD,XKLS,,
5285.KL,SD GUTHRIE BERHAD,XKLS,,MYL5285OO005
5286.KL,MI TECHNOVATION BERHAD,XKLS,,MYL5286OO003
5288.KL,SIME DARBY PROPERTY BERHAD,XKLS,,MYL5288OO009
5289.KL,TECHBOND GROUP BERHAD,XKLS,,
5291.KL,HPMT HOLDINGS BERHAD,XKLS,,
5292.KL,UWC BERHAD,XKLS,,
5293.KL,AME ELITE CONSORTIUM BERHAD,XKLS,,
5295.KL,INNATURE BERHAD,XKLS,,
5296.KL,MR D.I.Y. GROUP (M) BERHAD,XKLS,,MYL5296OO007
5297.KL,TUJU SETIA BERHAD,XKLS,,
5298.KL,OM HOLDINGS LIMITED,XKLS,,
5299.KL,IGB COMMERCIAL REAL ESTATE INVESTMENT TRUST,XKLS,,
5300.KL,YENHER HOLDINGS BERHAD,XKLS,,
5301.KL,CTOS DIGITAL BERHAD,XKLS,,
5302.KL,AURELIUS TECHNOLOGIES BERHAD,XKLS,,
5303.KL,SWIFT HAULAGE BERHAD,XKLS,,
5305.KL,SENHENG NEW RETAIL BERHAD,XKLS,,
5306.KL,FARM FRESH BERHAD,XKLS,,
5307.KL,AME REAL ESTATE INVESTMENT TRUST,XKLS,,
5308.KL,SENG FONG HOLDINGS BERHAD,XKLS,,
5309.KL,ITMAX SYSTEM BERHAD,XKLS,,
5310.KL,KUMPULAN KITACON BERHAD,XKLS,,
5311.KL,CAPE EMS BERHAD,XKLS,,
5313.KL,RADIUM DEVELOPMENT BERHAD,XKLS,,
5315.KL,SKYWORLD DEVELOPMENT BERHAD,XKLS,,
5316.KL,MST GOLF GROUP BERHAD,XKLS,,
5317.KL,CPE TECHNOLOGY BERHAD,XKLS,,
5318.KL,DXN HOLDINGS BHD.,XKLS,,
5319.KL,MKH OIL PALM (EAST KALIMANTAN) BERHAD,XKLS,,
5320.KL,PROLINTAS INFRA BUSINESS TRUST,XKLS,,
5321.KL,KEYFIELD INTERNATIONAL BERHAD,XKLS,,
5322.KL,FEYTECH HOLDINGS BERHAD,XKLS,,
5323.KL,JOHOR PLANTATIONS GROUP BERHAD,XKLS,,
5325.KL,WELL CHIP GROUP BERHAD,XKLS,,
5326.KL,99 SPEED MART RETAIL HOLDINGS BERHAD,XKLS,,
5327.KL,MEGA FORTRIS BERHAD,XKLS,,
5328.KL,LIFE WATER BERHAD,XKLS,,
5329.KL,AZAM JAYA BERHAD,XKLS,,
5330.KL,TMK CHEMICAL BHD,XKLS,,
5331.KL,PANTECH GLOBAL BERHAD,XKLS,,
5332.KL,REACH TEN HOLDINGS BERHAD,XKLS,,
5335.KL,HI MOBILITY BERHAD,XKLS,,
5336.KL,CUCKOO INTERNATIONAL (MAL) BERHAD,XKLS,,
5337.KL,ECO-SHOP MARKETING BERHAD,XKLS,,
5338.KL,PARADIGM REAL ESTATE INVESTMENT TRUST,XKLS,,
5340.KL,UMS INTEGRATION LIMITED,XKLS,,
5341.KL,LAC MED BERHAD,XKLS,,
5343.KL,WASCO GREENERGY BERHAD,XKLS,,
5345.KL,GEOHAN CORPORATION BERHAD,XKLS,,
5346.KL,HOCK SOON CAPITAL BERHAD,XKLS,,
5347.KL,TENAGA NASIONAL BHD,XKLS,,MYL5347OO007
5348.KL,ORKIM BERHAD,XKLS,,
5351.KL,EMPIRE PREMIUM FOOD BERHAD,XKLS,,
5352.KL,MTT SHIPPING AND LOGISTICS BERHAD,XKLS,,
5357.KL,SKYECHIP BERHAD,XKLS,,
5371.KL,KIM HIN INDUSTRY BERHAD,XKLS,,
5398.KL,GAMUDA BERHAD,XKLS,,MYL5398OO009
5401.KL,TROPICANA CORPORATION BERHAD,XKLS,,
5436.KL,PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BHD,XKLS,,
5517.KL,SHANGRI-LA HOTELS (MALAYSIA) BERHAD,XKLS,,
5533.KL,OCB BERHAD,XKLS,,
5555.KL,SUNWAY HEALTHCARE HOLDINGS BERHAD,XKLS,,
5568.KL,APB RESOURCES BERHAD,XKLS,,
5576.KL,MINHO (M) BERHAD,XKLS,,
5592.KL,GRAND CENTRAL ENTERPRISES BHD,XKLS,,
5606.KL,IGB BERHAD,XKLS,,
5614.KL,NUENERGY HOLDINGS BERHAD,XKLS,,
5622.KL,PIMPINAN EHSAN BERHAD,XKLS,,
5649.KL,GOLDEN PHAROS BERHAD,XKLS,,
5657.KL,PARKSON HOLDINGS BERHAD,XKLS,,
5665.KL,SOUTHERN STEEL BERHAD,XKLS,,
5673.KL,JENTAYU SUSTAINABLES BERHAD,XKLS,,
5681.KL,PETRONAS DAGANGAN BHD,XKLS,,MYL5681OO007
5703.KL,MUHIBBAH ENGINEERING (M) BHD,XKLS,,
5738.KL,COUNTRY HEIGHTS HOLDINGS BHD,XKLS,,
5789.KL,LBS BINA GROUP BERHAD,XKLS,,
5797.KL,CHOO BEE METAL INDUSTRIES BHD,XKLS,,
5819.KL,HONG LEONG BANK BERHAD,XKLS,,MYL5819OO000
5827.KL,ORIENTAL INTEREST BERHAD,XKLS,,
5843.KL,KUMPULAN PERANGSANG SELANGOR BERHAD,XKLS,,
5878.KL,KPJ HEALTHCARE BERHAD,XKLS,,
5908.KL,DKSH HOLDINGS (MALAYSIA) BERHAD,XKLS,,
5916.KL,MALAYSIA SMELTING CORPORATION BERHAD,XKLS,,
5932.KL,BINA PURI HOLDINGS BHD,XKLS,,
5983.KL,MBM RESOURCES BHD,XKLS,,
6009.KL,PACIFIC & ORIENT BERHAD,XKLS,,
6012.KL,MAXIS BERHAD,XKLS,,MYL6012OO009
6017.KL,SHL CONSOLIDATED BHD,XKLS,,
6033.KL,PETRONAS GAS BERHAD,XKLS,,MYL6033OO005
6041.KL,FARLIM GROUP (MALAYSIA) BHD,XKLS,,
6068.KL,PCCS GROUP BERHAD,XKLS,,
6076.KL,ENCORP BERHAD,XKLS,,
6084.KL,STAR MEDIA GROUP BERHAD,XKLS,,
6114.KL,MKH BERHAD,XKLS,,
6139.KL,SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,XKLS,,
6149.KL,METROD HOLDINGS BERHAD,XKLS,,
6173.KL,BINA DARULAMAN BERHAD,XKLS,,
6181.KL,MALTON BERHAD,XKLS,,
6203.KL,KHEE SAN BERHAD,XKLS,,
6211.KL,KIA LIM BERHAD,XKLS,,
6254.KL,PDZ HOLDINGS BHD,XKLS,,
6262.KL,INNOPRISE PLANTATIONS BERHAD,XKLS,,
6297.KL,BOX-PAK (MALAYSIA) BERHAD,XKLS,,
6351.KL,AMWAY (MALAYSIA) HOLDINGS BERHAD,XKLS,,
6378.KL,BEDI BERHAD,XKLS,,
6399.KL,ASTRO MALAYSIA HOLDINGS BERHAD,XKLS,,
6432.KL,APOLLO FOOD HOLDINGS BERHAD,XKLS,,
6459.KL,MNRB HOLDINGS BERHAD,XKLS,,
6483.KL,KENANGA INVESTMENT BANK BERHAD,XKLS,,
6491.KL,KUMPULAN FIMA BERHAD,XKLS,,
6521.KL,SURIA CAPITAL HOLDINGS BERHAD,XKLS,,
6556.KL,ANN JOO RESOURCES BERHAD,XKLS,,
6599.KL,AEON CO. (M) BHD,XKLS,,
6602.KL,BCB BERHAD,XKLS,,
6633.KL,LEONG HUP INTERNATIONAL BERHAD,XKLS,,
6637.KL,PNE PCB BERHAD,XKLS,,
6718.KL,CRESCENDO CORPORATION BERHAD,XKLS,,
6742.KL,YTL POWER INTERNATIONAL BHD,XKLS,,
6769.KL,JKG LAND BERHAD,XKLS,,
6807.KL,PUNCAK NIAGA HOLDINGS BERHAD,XKLS,,
6815.KL,EUPE CORPORATION BERHAD,XKLS,,
6874.KL,JAG CAPITAL BERHAD,XKLS,,
6888.KL,AXIATA GROUP BERHAD,XKLS,,MYL6888OO007
6904.KL,SUBUR TIASA HOLDINGS BERHAD,XKLS,,
6912.KL,PASDEC HOLDINGS BERHAD,XKLS,,
6939.KL,FIAMMA HOLDINGS BERHAD,XKLS,,
6947.KL,CELCOMDIGI BERHAD,XKLS,,MYL6947OO009
6963.KL,V.S. INDUSTRY BERHAD,XKLS,,
6971.KL,KOBAY TECHNOLOGY BERHAD,XKLS,,
6998.KL,BINTAI KINDEN CORPORATION BERHAD,XKLS,,
7003.KL,Y&G CORPORATION BHD,XKLS,,
7004.KL,MCE HOLDINGS BERHAD,XKLS,,
7005.KL,B.I.G. INDUSTRIES BERHAD,XKLS,,
7006.KL,RHONG KHEN INTERNATIONAL BERHAD,XKLS,,
7007.KL,ARK RESOURCES HOLDINGS BERHAD,XKLS,,
7010.KL,PTT SYNERGY GROUP BERHAD,XKLS,,
7013.KL,HUBLINE BERHAD,XKLS,,
7014.KL,YLI HOLDINGS BERHAD,XKLS,,
7016.KL,CHUAN HUAT RESOURCES BHD,XKLS,,
7017.KL,KOMARKCORP BERHAD,XKLS,,
7018.KL,CME GROUP BERHAD,XKLS,,
7020.KL,ASTEEL GROUP BERHAD,XKLS,,
7022.KL,GLOBETRONICS TECHNOLOGY BERHAD,XKLS,,
7025.KL,WOODLANDOR HOLDINGS BHD,XKLS,,
7028.KL,ZECON BERHAD,XKLS,,
7029.KL,MASTER-PACK GROUP BERHAD,XKLS,,
7031.KL,AMTEL HOLDINGS BERHAD,XKLS,,
7033.KL,KUMPULAN H & L HIGH-TECH BERHAD,XKLS,,
7034.KL,THONG GUAN INDUSTRIES BERHAD,XKLS,,
7035.KL,CCK CONSOLIDATED HOLDINGS BERHAD,XKLS,,
7036.KL,BORNEO OIL BERHAD,XKLS,,
7043.KL,XIN SYNERGY GROUP BERHAD,XKLS,,
7047.KL,FBG HOLDINGS BERHAD,XKLS,,
7048.KL,ATLAN HOLDINGS BHD,XKLS,,
7050.KL,WONG ENGINEERING CORPORATION BERHAD,XKLS,,
7052.KL,PADINI HOLDINGS BERHAD,XKLS,,
7053.KL,SEE HUP CONSOLIDATED BERHAD,XKLS,,
7054.KL,ASTRAL ASIA BERHAD,XKLS,,
7055.KL,PLB ENGINEERING BERHAD,XKLS,,
7060.KL,NEW HOONG FATT HOLDINGS BERHAD,XKLS,,
7062.KL,KHIND HOLDINGS BERHAD,XKLS,,
7066.KL,YONG TAI BERHAD,XKLS,,
7070.KL,VIZIONE HOLDINGS BERHAD,XKLS,,
7071.KL,OCR GROUP BERHAD,XKLS,,
7073.KL,SEACERA GROUP BERHAD,XKLS,,
7076.KL,CB INDUSTRIAL PRODUCT HOLDING BERHAD,XKLS,,
7077.KL,KERJAYA PROSPEK PROPERTY BERHAD,XKLS,,
7078.KL,AHMAD ZAKI RESOURCES BERHAD,XKLS,,
7079.KL,TWL HOLDINGS BERHAD,XKLS,,
7080.KL,PERMAJU INDUSTRIES BERHAD,XKLS,,
7081.KL,PHARMANIAGA BERHAD,XKLS,,
7082.KL,M & A EQUITY HOLDINGS BERHAD,XKLS,,
7083.KL,ANALABS RESOURCES BERHAD,XKLS,,
7084.KL,QL RESOURCES BERHAD,XKLS,,
7085.KL,LTKM BERHAD,XKLS,,
7086.KL,ABLEGROUP BERHAD,XKLS,,
7087.KL,MAGNI-TECH INDUSTRIES BERHAD,XKLS,,
7088.KL,POH HUAT RESOURCES HOLDINGS BERHAD,XKLS,,
7089.KL,LII HEN INDUSTRIES BHD.,XKLS,,
7091.KL,UNIMECH GROUP BERHAD,XKLS,,
7094.KL,EUROSPAN HOLDINGS BERHAD,XKLS,,
7095.KL,P.I.E. INDUSTRIAL BERHAD,XKLS,,
7096.KL,JOE HOLDING BERHAD,XKLS,,
7097.KL,TA WIN HOLDINGS BERHAD,XKLS,,
7099.KL,MAYU GLOBAL GROUP BERHAD,XKLS,,
7100.KL,UCHI TECHNOLOGIES BERHAD,XKLS,,
7103.KL,SPRITZER BHD,XKLS,,
7105.KL,HCK CAPITAL GROUP BERHAD,XKLS,,
7106.KL,SUPERMAX CORPORATION BERHAD,XKLS,,MYL7106OO005
7107.KL,ORIENTAL FOOD INDUSTRIES HOLDINGS BERHAD,XKLS,,
7108.KL,PERDANA PETROLEUM BERHAD,XKLS,,
7113.KL,TOP GLOVE CORPORATION BHD,XKLS,,MYL7113OO007
7114.KL,D'NONCE TECHNOLOGY BHD,XKLS,,
7115.KL,SKB SHUTTERS CORPORATION BERHAD,XKLS,,
7117.KL,CJ CENTURY LOGISTICS HOLDINGS BERHAD,XKLS,,
7120.KL,AXTERIA GROUP BERHAD,XKLS,,
7121.KL,XL HOLDINGS BERHAD,XKLS,,
7123.KL,MAXLAND BERHAD,XKLS,,
7128.KL,CAM RESOURCES BERHAD,XKLS,,
7129.KL,ASIA FILE CORPORATION BHD,XKLS,,
7131.KL,ACME HOLDINGS BERHAD,XKLS,,
7132.KL,SMIS CORPORATION BERHAD,XKLS,,
7133.KL,UNITED U-LI CORPORATION BERHAD,XKLS,,
7134.KL,PWF CORPORATION BERHAD,XKLS,,
7137.KL,UMS HOLDINGS BERHAD,XKLS,,
7139.KL,NICHE CAPITAL EMAS HOLDINGS BERHAD,XKLS,,
7140.KL,OKA CORPORATION BHD,XKLS,,
7145.KL,TXCD BERHAD,XKLS,,
7146.KL,AE MULTI HOLDINGS BERHAD,XKLS,,
7148.KL,DUOPHARMA BIOTECH BERHAD,XKLS,,
7149.KL,ENG KAH CORPORATION BERHAD,XKLS,,
7152.KL,JAYCORP BERHAD,XKLS,,
7153.KL,KOSSAN RUBBER INDUSTRIES BHD.,XKLS,,
7154.KL,NEXG BINA BERHAD,XKLS,,
7155.KL,SKP RESOURCES BHD,XKLS,,
7157.KL,CYL CORPORATION BERHAD,XKLS,,
7160.KL,PENTAMASTER CORPORATION BERHAD,XKLS,,
7161.KL,KERJAYA PROSPEK GROUP BERHAD,XKLS,,
7162.KL,ASTINO BERHAD,XKLS,,
7163.KL,PJBUMI BERHAD,XKLS,,
7165.KL,VELOCITY CAPITAL PARTNER BERHAD,XKLS,,
7167.KL,ABLE GLOBAL BERHAD,XKLS,,
7168.KL,PRG HOLDINGS BERHAD,XKLS,,
7169.KL,DOMINANT ENTERPRISE BERHAD,XKLS,,
7170.KL,LFE CORPORATION BERHAD,XKLS,,
7172.KL,PMB TECHNOLOGY BERHAD,XKLS,,
7173.KL,TOYO VENTURES HOLDINGS BERHAD,XKLS,,
7174.KL,CAB CAKARAN CORPORATION BERHAD,XKLS,,
7176.KL,TPC PLUS BERHAD,XKLS,,
7178.KL,Y.S.P. SOUTHEAST ASIA HOLDING BERHAD,XKLS,,
7179.KL,LAGENDA PROPERTIES BERHAD,XKLS,,
7180.KL,SERN KOU RESOURCES BERHAD,XKLS,,
7181.KL,ARB BERHAD,XKLS,,
