symbol,name,exchange,index,isin
0149.KL,FIBON BERHAD,XKLS,,
0150.KL,FINTEC GLOBAL BERHAD,XKLS,,
0151.KL,KELINGTON GROUP BERHAD,XKLS,,
0152.KL,DGB ASIA BERHAD,XKLS,,
0153.KL,OVERSEA ENTERPRISE BERHAD,XKLS,,
0154.KL,EA HOLDINGS BERHAD,XKLS,,
0155.KL,MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD,XKLS,,
0156.KL,MANAGEPAY SYSTEMS BERHAD,XKLS,,
0157.KL,FOCUS POINT HOLDINGS BERHAD,XKLS,,
0158.KL,SCC HOLDINGS BERHAD,XKLS,,
0159.KL,MMM GROUP BERHAD,XKLS,,
0160.KL,HIAP HUAT HOLDINGS BERHAD,XKLS,,
0161.KL,HEXTAR INDUSTRIES BERHAD,XKLS,,
0162.KL,WIDAD GROUP BERHAD,XKLS,,
0163.KL,CAREPLUS GROUP BERHAD,XKLS,,
0165.KL,XOX BHD,XKLS,,
0166.KL,INARI AMERTRON BERHAD,XKLS,,MYL0166OO000
0167.KL,MCLEAN TECHNOLOGIES BERHAD,XKLS,,
0168.KL,BM GREENTECH BERHAD,XKLS,,
0169.KL,SMTRACK BERHAD,XKLS,,
0170.KL,KANGER INTERNATIONAL BERHAD,XKLS,,
0171.KL,PETERLABS HOLDINGS BERHAD,XKLS,,
0172.KL,OCK GROUP BERHAD,XKLS,,
0173.KL,CATCHA DIGITAL BERHAD,XKLS,,
0174.KL,EVD BERHAD,XKLS,,
0175.KL,HHRG BERHAD,XKLS,,
0176.KL,KRONOLOGI ASIA BERHAD,XKLS,,
0177.KL,MIDTOWN GROUP BERHAD,XKLS,,
0178.KL,SEDANIA INNOVATOR BERHAD,XKLS,,
0179.KL,BIOALPHA HOLDINGS BERHAD,XKLS,,
0180.KL,KIM TECK CHEONG CONSOLIDATED BERHAD,XKLS,,
0181.KL,AEMULUS HOLDINGS BERHAD,XKLS,,
0182.KL,LKL INTERNATIONAL BERHAD,XKLS,,
0183.KL,SALUTICA BERHAD,XKLS,,
0185.KL,HSS ENGINEERS BERHAD,XKLS,,
0186.KL,PERAK TRANSIT BERHAD,XKLS,,
0187.KL,BCM ALLIANCE BERHAD,XKLS,,
0188.KL,HLT GLOBAL BERHAD,XKLS,,
0189.KL,MATANG BERHAD,XKLS,,
0190.KL,EVERSAFE RUBBER BERHAD,XKLS,,
0191.KL,CABNET HOLDINGS BERHAD,XKLS,,
0192.KL,INTA BINA GROUP BERHAD,XKLS,,
0193.KL,KINERGY ADVANCEMENT BERHAD,XKLS,,
0195.KL,BINASAT COMMUNICATIONS BERHAD,XKLS,,
0196.KL,QES GROUP BERHAD,XKLS,,
0197.KL,WEGMANS HOLDINGS BERHAD,XKLS,,
0198.KL,GDB HOLDINGS BERHAD,XKLS,,
0199.KL,TRI-MODE SYSTEM (M) BERHAD,XKLS,,
0200.KL,REVENUE GROUP BERHAD,XKLS,,
0201.KL,NOVA WELLNESS GROUP BERHAD,XKLS,,
0202.KL,RADIANT GLOBALTECH BERHAD,XKLS,,
0203.KL,SECUREMETRIC BERHAD,XKLS,,
0205.KL,DPI HOLDINGS BERHAD,XKLS,,
0206.KL,GAGASAN NADI CERGAS BERHAD,XKLS,,
0207.KL,MESTRON HOLDINGS BERHAD,XKLS,,
0208.KL,GREATECH TECHNOLOGY BERHAD,XKLS,,
0209.KL,AIMFLEX BERHAD,XKLS,,
0210.KL,KIM HIN JOO (MALAYSIA) BERHAD,XKLS,,
0211.KL,TASHIN HOLDINGS BERHAD,XKLS,,
0212.KL,SDS GROUP BERHAD,XKLS,,
0213.KL,MTAG GROUP BERHAD,XKLS,,
0215.KL,SOLARVEST HOLDINGS BERHAD,XKLS,,
0216.KL,SPRING ART HOLDINGS BERHAD,XKLS,,
0217.KL,POWERWELL HOLDINGS BERHAD,XKLS,,
0218.KL,ACO GROUP BERHAD,XKLS,,
0219.KL,RESERVOIR LINK ENERGY BHD,XKLS,,
0220.KL,OCEAN VANTAGE HOLDINGS BERHAD,XKLS,,
0221.KL,TCS GROUP HOLDINGS BERHAD,XKLS,,
0222.KL,OPTIMAX HOLDINGS BERHAD,XKLS,,
0223.KL,SAMAIDEN GROUP BERHAD,XKLS,,
0225.KL,SOUTHERN CABLE GROUP BERHAD,XKLS,,
0226.KL,ANEKA JARINGAN HOLDINGS BERHAD,XKLS,,
0227.KL,ECONFRAME BERHAD,XKLS,,
0228.KL,HPP HOLDINGS BERHAD,XKLS,,
0229.KL,MOBILIA HOLDINGS BERHAD,XKLS,,
0230.KL,TELADAN GROUP BERHAD,XKLS,,
0231.KL,FLEXIDYNAMIC HOLDINGS BERHAD,XKLS,,
